AGE,AGE_GROUP_5,CCG_CODE,CCG_NAME,CODE,COMM_REGION_CODE,COMM_REGION_NAME,EXTRACT_DATE,NUMBER_OF_PATIENTS,ONS_CCG_CODE,ONS_CODE,ONS_COMM_REGION_CODE,ONS_REGION_CODE,ORG_CODE,ORG_TYPE,POSTCODE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PUBLICATION,REGION_CODE,REGION_NAME,SEX,STP_CODE,STP_NAME,TYPE
ALL,,00D,,A83610,,,01DEC2019,2990.0,E38000047,,,,,,TS28 5PZ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83616,,,01DEC2019,7861.0,E38000047,,,,,,DH6 2LQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83619,,,01DEC2019,3246.0,E38000047,,,,,,DH6 2LT,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83626,,,01DEC2019,2059.0,E38000047,,,,,,DL14 9SU,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83627,,,01DEC2019,5946.0,E38000047,,,,,,DH6 2TH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00D,,A83634,,,01DEC2019,2762.0,E38000047,,,,,,DL17 9LH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83009,,,01DEC2019,8262.0,E38000116,,,,,,DH3 3SL,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83011,,,01DEC2019,35026.0,E38000116,,,,,,DH1 1QW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83014,,,01DEC2019,6819.0,E38000116,,,,,,DH1 2QW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83016,,,01DEC2019,11119.0,E38000116,,,,,,DH9 8AD,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83018,,,01DEC2019,18596.0,E38000116,,,,,,DH8 5YA,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83022,,,01DEC2019,24690.0,E38000116,,,,,,DH7 8NH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83023,,,01DEC2019,11730.0,E38000116,,,,,,DH9 0AB,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83024,,,01DEC2019,5572.0,E38000116,,,,,,DH4 6RQ,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83026,,,01DEC2019,10302.0,E38000116,,,,,,DH7 6JW,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
ALL,,00J,,A83027,,,01DEC2019,6435.0,E38000116,,,,,,DH6 4DH,,,,GP_PRAC_PAT_LIST,,,ALL,,,GP
