Label,Notation,Parent Notation,Sort Priority,Description
A83005,A83005,,,
A83006,A83006,,,
A83010,A83010,,,
A83013,A83013,,,
A83031,A83031,,,
A83034,A83034,,,
A83040,A83040,,,
A83047,A83047,,,
A83048,A83048,,,
A83070,A83070,,,
A83641,A83641,,,
A83001,A83001,,,
A83003,A83003,,,
A83007,A83007,,,
A83008,A83008,,,
A83012,A83012,,,
A83015,A83015,,,
A83020,A83020,,,
A83021,A83021,,,
A83025,A83025,,,
A83032,A83032,,,
A83035,A83035,,,
A83037,A83037,,,
A83041,A83041,,,
A83043,A83043,,,
A83044,A83044,,,
A83045,A83045,,,
A83046,A83046,,,
A83051,A83051,,,
A83052,A83052,,,
A83054,A83054,,,
A83057,A83057,,,
A83060,A83060,,,
A83061,A83061,,,
A83066,A83066,,,
A83071,A83071,,,
A83074,A83074,,,
A83075,A83075,,,
A83603,A83603,,,
A83610,A83610,,,
A83616,A83616,,,
A83619,A83619,,,
A83626,A83626,,,
A83627,A83627,,,
A83634,A83634,,,
A83009,A83009,,,
A83011,A83011,,,
A83014,A83014,,,
A83016,A83016,,,
A83018,A83018,,,
A83022,A83022,,,
A83023,A83023,,,
A83024,A83024,,,
A83026,A83026,,,
A83027,A83027,,,
A83028,A83028,,,
A83029,A83029,,,
A83030,A83030,,,
A83033,A83033,,,
A83036,A83036,,,
A83038,A83038,,,
A83049,A83049,,,
A83050,A83050,,,
A83055,A83055,,,
A83072,A83072,,,
A83073,A83073,,,
A83617,A83617,,,
A83618,A83618,,,
A83622,A83622,,,
A83630,A83630,,,
A83632,A83632,,,
A83635,A83635,,,
A83636,A83636,,,
A83637,A83637,,,
A83644,A83644,,,
A81001,A81001,,,
A81002,A81002,,,
A81006,A81006,,,
A81007,A81007,,,
A81011,A81011,,,
A81014,A81014,,,
A81017,A81017,,,
A81025,A81025,,,
A81027,A81027,,,
A81031,A81031,,,
A81034,A81034,,,
A81036,A81036,,,
A81039,A81039,,,
A81040,A81040,,,
A81041,A81041,,,
A81044,A81044,,,
A81046,A81046,,,
A81056,A81056,,,
A81057,A81057,,,
A81060,A81060,,,
A81063,A81063,,,
A81066,A81066,,,
A81067,A81067,,,
A81070,A81070,,,
A81602,A81602,,,
A81608,A81608,,,
A81610,A81610,,,
A81612,A81612,,,
A81622,A81622,,,
A81629,A81629,,,
A81631,A81631,,,
A81634,A81634,,,
A84002,A84002,,,
A84003,A84003,,,
A84005,A84005,,,
A84006,A84006,,,
A84007,A84007,,,
A84008,A84008,,,
A84009,A84009,,,
A84011,A84011,,,
A84013,A84013,,,
A84014,A84014,,,
A84015,A84015,,,
A84016,A84016,,,
A84018,A84018,,,
A84020,A84020,,,
A84022,A84022,,,
A84024,A84024,,,
A84025,A84025,,,
A84026,A84026,,,
A84027,A84027,,,
A84028,A84028,,,
A84029,A84029,,,
A84030,A84030,,,
A84031,A84031,,,
A84032,A84032,,,
A84033,A84033,,,
A84034,A84034,,,
A84035,A84035,,,
A84036,A84036,,,
A84037,A84037,,,
A84038,A84038,,,
A84039,A84039,,,
A84040,A84040,,,
A84042,A84042,,,
A84043,A84043,,,
A84044,A84044,,,
A84045,A84045,,,
A84047,A84047,,,
A84604,A84604,,,
A84609,A84609,,,
A84614,A84614,,,
A84619,A84619,,,
A81004,A81004,,,
A81005,A81005,,,
A81009,A81009,,,
A81012,A81012,,,
A81013,A81013,,,
A81016,A81016,,,
A81018,A81018,,,
A81019,A81019,,,
A81020,A81020,,,
A81021,A81021,,,
A81022,A81022,,,
A81023,A81023,,,
A81026,A81026,,,
A81029,A81029,,,
A81030,A81030,,,
A81032,A81032,,,
A81035,A81035,,,
A81037,A81037,,,
A81038,A81038,,,
A81042,A81042,,,
A81043,A81043,,,
A81045,A81045,,,
A81048,A81048,,,
A81049,A81049,,,
A81051,A81051,,,
A81052,A81052,,,
A81053,A81053,,,
A81054,A81054,,,
A81058,A81058,,,
A81064,A81064,,,
A81065,A81065,,,
A81611,A81611,,,
A81618,A81618,,,
A81621,A81621,,,
A81630,A81630,,,
A81633,A81633,,,
Y00286,Y00286,,,
Y03303,Y03303,,,
A88001,A88001,,,
A88002,A88002,,,
A88003,A88003,,,
A88004,A88004,,,
A88005,A88005,,,
A88006,A88006,,,
A88007,A88007,,,
A88008,A88008,,,
A88009,A88009,,,
A88010,A88010,,,
A88012,A88012,,,
A88013,A88013,,,
A88014,A88014,,,
A88015,A88015,,,
A88016,A88016,,,
A88022,A88022,,,
A88023,A88023,,,
A88025,A88025,,,
A88601,A88601,,,
A88608,A88608,,,
A88613,A88613,,,
A89001,A89001,,,
A89002,A89002,,,
A89004,A89004,,,
A89005,A89005,,,
A89006,A89006,,,
A89007,A89007,,,
A89008,A89008,,,
A89009,A89009,,,
A89010,A89010,,,
A89011,A89011,,,
A89012,A89012,,,
A89013,A89013,,,
A89015,A89015,,,
A89016,A89016,,,
A89017,A89017,,,
A89018,A89018,,,
A89019,A89019,,,
A89020,A89020,,,
A89021,A89021,,,
A89022,A89022,,,
A89023,A89023,,,
A89024,A89024,,,
A89025,A89025,,,
A89026,A89026,,,
A89027,A89027,,,
A89028,A89028,,,
A89030,A89030,,,
A89031,A89031,,,
A89032,A89032,,,
A89034,A89034,,,
A89035,A89035,,,
A89036,A89036,,,
A89040,A89040,,,
A89041,A89041,,,
A89604,A89604,,,
A89614,A89614,,,
A89616,A89616,,,
A89617,A89617,,,
A89623,A89623,,,
